iter	RMSE
1329	757.3068302
1330	757.0786692
1331	756.852558
1332	756.6145128
1333	756.3731994
1334	756.2047325
1335	755.9541981
1336	755.6913121
1337	755.4501634
1338	755.2159339
1339	755.0242979
1340	754.8520711
1341	754.5863904
1342	754.4119816
1343	754.1247574
1344	753.9058075
1345	753.6203795
1346	753.3772047
1347	753.158103
1348	752.9787939
1349	752.8225194
1350	752.5273405
1351	752.2542437
1352	752.0532976
1353	751.8608851
1354	751.6227197
1355	751.3978519
1356	751.1628016
1357	750.9569681
1358	750.7104964
1359	750.4489987
1360	750.2857109
1361	750.0144514
1362	749.6681507
1363	749.3972993
1364	749.1641832
1365	748.8936906
1366	748.6369246
1367	748.3826649
1368	748.2846049
1369	748.1357703
1370	747.9248794
1371	747.6946705
1372	747.3927402
1373	747.1135595
1374	746.9144775
1375	746.6895725
1376	746.4698368
1377	746.2273415
1378	746.0011718
1379	745.8009855
1380	745.5920094
1381	745.3726344
1382	745.0514494
1383	744.8415948
1384	744.6368055
1385	744.3363832
1386	744.1224191
1387	743.9048315
1388	743.5200595
1389	743.2890767
1390	743.0731316
1391	742.7521575
1392	742.5524395
1393	742.3040725
1394	742.1966273
1395	741.9497309
1396	741.6020534
1397	741.284876
1398	741.0706227
1399	740.8983461
1400	740.6704217
1401	740.4278388
1402	740.1770578
1403	739.9582375
1404	739.7485553
1405	739.5310571
1406	739.2776709
1407	739.0196502
1408	738.8339617
1409	738.6647688
1410	738.5244713
1411	738.2386818
1412	738.0397164
1413	737.7572051
1414	737.5143666
1415	737.2707374
1416	736.9989693
1417	736.743661
1418	736.5385018
1419	736.3259895
1420	736.1038715
1421	735.8649681
1422	735.7394175
1423	735.4979973
1424	735.2180954
1425	735.0209059
1426	734.8337623
1427	734.6094098
1428	734.4021883
1429	734.2114709
1430	733.8648591
1431	733.6432896
1432	733.4612531
1433	733.2878832
1434	733.0804485
1435	732.7501468
1436	732.4341093
1437	732.244317
1438	732.0902569
1439	731.8269193
1440	731.6111161
1441	731.3697724
1442	731.1073898
1443	730.9517531
1444	730.6798347
1445	730.4460317
1446	730.1477438
1447	729.9014949
1448	729.6695989
1449	729.4937496
1450	729.2901289
1451	729.0528323
1452	728.835225
1453	728.5462028
1454	728.2747994
1455	728.0589074
1456	727.9010649
1457	727.6561088
1458	727.502424
1459	727.3312796
1460	727.0518422
1461	726.8547299
1462	726.6832922
1463	726.4336918
1464	726.2089416
1465	725.8617046
1466	725.6616632
1467	725.4764922
1468	725.2891128
1469	725.1151578
1470	724.8216375
1471	724.5718514
1472	724.413803
1473	724.2291292
1474	723.9898727
1475	723.6808991
1476	723.5044626
1477	723.2104494
1478	723.0707984
1479	722.9248998
1480	722.7096698
1481	722.4853268
1482	722.1612163
1483	722.004241
1484	721.7110227
1485	721.483872
1486	721.281019
1487	721.0000566
1488	720.7414197
1489	720.5507707
1490	720.3279806
1491	719.9941203
1492	719.8039705
1493	719.5533801
1494	719.3938822
1495	719.1397203
1496	718.9600326
1497	718.7362642
1498	718.4729219
1499	718.2365268
